iter	Logloss
234	0.2439980565
235	0.2439889153
236	0.243978612
237	0.2439705002
238	0.2439633034
239	0.2439519295
240	0.2439418824
241	0.2439321326
242	0.2439148064
243	0.2438956959
244	0.243884052
245	0.2438681395
246	0.2438563172
247	0.243848759
248	0.2438376505
249	0.24381197
250	0.2437998869
251	0.2437943418
252	0.2437858228
253	0.2437577952
254	0.2437515501
255	0.2437421343
256	0.2437364657
257	0.2437268624
258	0.2437171813
259	0.2437105793
260	0.2437044989
261	0.243694804
262	0.2436888014
263	0.2436752223
264	0.2436612268
265	0.2436535084
266	0.2436318358
267	0.2436091977
268	0.2435991415
269	0.2435821721
270	0.2435670374
271	0.2435564687
272	0.2435455844
273	0.2435333046
274	0.2435255359
275	0.2435166326
276	0.2435084064
277	0.2435001116
278	0.2434864409
279	0.2434812024
280	0.2434441113
281	0.243433227
282	0.2434246027
283	0.2434063157
284	0.2433659855
285	0.2433474422
286	0.2433305415
287	0.2433246761
288	0.2433138558
289	0.2433037767
290	0.2432963877
291	0.2432772772
292	0.2432613281
293	0.2432537562
294	0.243236892
295	0.2432251933
296	0.2432105618
297	0.2432031729
298	0.2431833852
299	0.243173846
300	0.2431613283
301	0.2431529968
302	0.2431164182
303	0.2431051587
304	0.2430954868
305	0.2430840213
306	0.2430695821
307	0.2430575539
308	0.2430477218
309	0.2430335982
310	0.2430262871
311	0.2430108962
312	0.242995217
313	0.242981949
314	0.242971696
315	0.2429590639
316	0.2429493828
317	0.242940054
318	0.2429235559
319	0.2429175669
320	0.2429098486
321	0.2429001812
322	0.2428850099
323	0.242864202
324	0.2428518947
325	0.2428356848
326	0.2428247181
327	0.2428101599
328	0.2427983925
329	0.2427859983
330	0.2427696649
331	0.2427417243
332	0.2427246131
333	0.242713262
334	0.2427052829
335	0.242691873
336	0.2426840769
337	0.2426695233
338	0.2426602128
339	0.2426410564
340	0.2426311832
341	0.2426213465
342	0.2426023504
343	0.2425888719
344	0.2425826359
345	0.2425785548
346	0.2425693496
347	0.2425616816
348	0.2425520325
349	0.2425391259
350	0.2425280677
351	0.2424959407
352	0.242479804
353	0.242467968
354	0.2424618785
355	0.2424510307
356	0.242434011
357	0.242423456
358	0.2424159161
359	0.2424092272
360	0.2423994134
361	0.2423883186
362	0.2423813964
363	0.2423730833
364	0.2423653786
365	0.2423548923
366	0.2423459158
367	0.2423340295
368	0.2423284157
369	0.2423199608
370	0.2423122013
371	0.24229536
372	0.24228696
